"ecli","voorzitter_id","voorzitter_naam","voorzitter_start_date","experience_voorzitter_days","single_panel","single_judge","panel","griffier_naam","griffier_start_date","griffier_first_ecli","experience_griffier_days","griffier_no_of_cases","issued","id","institution","institution_cat","procedure_level","beroep","hoger_beroep","procedure_type","url","outcome","outcome_binary","gegrond","ongegrond","hand_checked",,"relative_experience","complexity_ecli_references","complexity_verdict_length","complexity_law_references","complexity_index","gender"
"ECLI:NL:RVS:2020:2228","83e1e090-07d5-4966-ae38-b92f5fed492b","N. Verheij",2011-05-01 00:00:00,3426,"single",1,0,"C.A.M. van Deventer-Lustberg",2014-06-18 00:00:00,"ECLI:NL:RVS:2014:2219",2282,125,2020-09-16 00:00:00,"5b791a94-4a95-440e-b8d5-97f48effb1fd","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#hogerBeroep","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:2228&keyword=griffier","ongegrond","ongegrond",0,1,1,9996.0000,1144,3,12267,2,17.267,"male"
"ECLI:NL:CBB:2020:738","bc30c49b-67d5-4e39-a23a-1e8575ac6858","J.L. Verbeek",1997-07-31 22:00:00,8481,"single",1,0,"E.D.H. Nanninga",2019-05-14 00:00:00,"ECLI:NL:CBB:2019:198",525,83,2020-10-20 00:00:00,"daf36825-1f37-43f7-8adc-c43cc7efafdc","http://standaarden.overheid.nl/owms/terms/College_van_Beroep_voor_het_bedrijfsleven","CBB","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:CBB:2020:738&keyword=griffier","ongegrond","ongegrond",0,1,1,9986.0000,7956,5,21262,9,35.262,"male"
"ECLI:NL:RBDHA:2020:8009","63f1ddc2-7fca-4307-abac-6837afc46f7e","G.P. Loman",2001-03-27 22:00:00,7041,"single",1,0,"P.W. Hogenbirk",2019-06-11 00:00:00,"ECLI:NL:RBMNE:2019:2622",392,124,2020-07-07 00:00:00,"7526564a-53dd-49f1-9672-6a31976fd923","http://standaarden.overheid.nl/owms/terms/Rechtbank_Den_Haag","RBDHA","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2020:8009&keyword=griffier","gegrond","gegrond",1,0,1,9985.0000,6649,4,7703,9,20.703,"male"
"ECLI:NL:RBAMS:2020:6345","5de9ffc8-20a2-4673-b602-2e6c1aab919a","E.J. Otten",2010-09-30 22:00:00,3730,"single",1,0,"R.E. Toonen",2007-03-07 00:00:00,"ECLI:NL:RBAMS:2007:BA4545",5034,201,2020-12-17 00:00:00,"e8ed4083-6d62-41dc-9f9e-3b5e9fcc6e7c","http://standaarden.overheid.nl/owms/terms/Rechtbank_Amsterdam","RBAMS","beroep",1,0,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBAMS:2020:6345&keyword=griffier","ongegrond","ongegrond",0,1,1,9982.0000,-1304,0,6293,1,7.293,"male"
"ECLI:NL:RBNHO:2020:3682","82ef2b2c-0293-4371-9868-474e8e7a338e","L.M. Kos",2004-03-28 22:00:00,5894,"single",1,0,"N. Joacim",2012-06-08 00:00:00,"ECLI:NL:RBHAA:2012:BX8631",2901,174,2020-05-18 00:00:00,"c05af4f8-95c9-4ebc-a412-0031f65deac8","http://standaarden.overheid.nl/owms/terms/Rechtbank_Noord-Holland","RBNHO","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNHO:2020:3682&keyword=griffier","niet_ontvankelijk","ongegrond",0,1,1,9980.0000,2993,0,8545,12,20.545,"male"
"ECLI:NL:RVS:2020:1025","54af39de-eb7b-467d-8917-d8de8bbe4b62","E.J. Daalder",2017-09-30 22:00:00,920,"single",1,0,"P. Plambeck",1999-12-30 00:00:00,"ECLI:NL:RVS:1999:AA4964",7405,847,2020-04-08 00:00:00,"5bc80873-c2b6-42ab-8703-1c8a3afc9813","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:1025&keyword=griffier","gegrond","gegrond",1,0,1,9978.0000,-6485,2,27869,1,30.869,"male"
"ECLI:NL:CBB:2020:809","d2ac8f1d-f83a-40b2-8013-d881333795fd","W.A.J. van Lierop",1991-12-19 22:59:59,10553,"panel",0,1,"E. van Kampen",2016-09-27 00:00:00,"ECLI:NL:CBB:2016:300",1505,59,2020-11-10 00:00:00,"01869186-1412-4a7b-82e2-103254d1b29c","http://standaarden.overheid.nl/owms/terms/College_van_Beroep_voor_het_bedrijfsleven","CBB","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#hogerBeroep","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:CBB:2020:809&keyword=griffier","ongegrond","ongegrond",0,1,1,9977.0000,9048,1,17505,11,29.505,"male"
"ECLI:NL:CBB:2020:996","f7fe31ee-5d97-494c-b624-03f398023e93","B. Bastein",2007-09-30 22:00:00,4831,"panel",0,1,"M.H. van Kersbergen",2020-04-28 00:00:00,"ECLI:NL:CBB:2020:320",238,22,2020-12-22 00:00:00,"b883db25-f2de-4be5-a6fa-cc9547cafda6","http://standaarden.overheid.nl/owms/terms/College_van_Beroep_voor_het_bedrijfsleven","CBB","beroep",1,0,"http://psi.rechtspraak.nl/procedure#tussenuitspraakBestuurlijkeLus","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:CBB:2020:996&keyword=griffier","gegrond","gegrond",1,0,1,9975.0000,4593,0,24123,10,34.123,"female"
"ECLI:NL:RBROT:2020:2400","8a6ae2f2-4ccb-4156-a48d-b7e16f34bf11","E. Lunenberg",2011-03-31 22:00:00,3276,"single",1,0,"A.M.S.J. Baggerman",2016-01-07 00:00:00,"ECLI:NL:RBROT:2016:107",1534,5,2020-03-20 00:00:00,"efad41bc-1851-4b3d-8cc4-a150465e7d72","http://standaarden.overheid.nl/owms/terms/Rechtbank_Rotterdam","RBROT","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2020:2400&keyword=griffier","niet_ontvankelijk","ongegrond",0,1,1,9975.0000,1742,0,2267,3,5.267,"female"
"ECLI:NL:RBROT:2020:5680","57d19d22-b425-4996-b971-542ab0006c16","A.P. Hameete",1991-08-27 22:00:00,10533,"single",1,0,"E.C. Petrusma",2006-10-20 00:00:00,"ECLI:NL:RBBRE:2006:AZ0740",5001,214,2020-06-29 00:00:00,"ac9d569b-2a9e-455b-a804-ad70cee3a32b","http://standaarden.overheid.nl/owms/terms/Rechtbank_Rotterdam","RBROT","beroep",1,0,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2020:5680&keyword=griffier","ongegrond","ongegrond",0,1,1,9975.0000,5532,0,3850,0,3.85,"male"
